"","PLAYER","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","Plus_Minus","OFFRTG","DEFRTG","NETRTG","AST.","AST.TO","ASTÂ.Ratio","OREB.","DREB.","REB.","TOÂ.Ratio","eFG.","TS.","USG.","PIE","Cluster_Number"
"245","Malcolm Brogdon",16.3,6,13.7,0.439,1.3,4.1,0.313,3,3.4,0.895,0.8,3.9,4.7,7.1,2.4,0.7,0.2,1.8,2,108.6,105.7,2.9,0.353,2.98,29,0.028,0.123,0.076,9.7,0.485,0.537,0.247,13.5,3
"251","Josh Richardson",13.8,5.1,12,0.429,1.5,4.5,0.327,2.1,2.7,0.789,0.8,2.6,3.4,3.1,1.9,0.9,0.7,2.5,2.4,108,104.2,3.8,0.147,1.63,17,0.024,0.08,0.053,10.5,0.49,0.526,0.205,8.1,2
"253","Fred VanVleet",17.6,6,14.6,0.409,2.7,7,0.388,2.9,3.5,0.843,0.4,3.4,3.8,6.6,2.3,1.9,0.3,2.5,4,109.9,104.8,5.1,0.275,2.88,26.4,0.01,0.087,0.05,9.2,0.503,0.546,0.22,11.2,3
"260","Gordon Hayward",17.3,6.8,13.5,0.502,1.6,4.2,0.392,2.1,2.5,0.847,1,5.5,6.5,4.1,1.8,0.8,0.4,1.8,6.2,113,104.9,8,0.18,2.34,20.1,0.029,0.156,0.094,8.6,0.563,0.593,0.204,13.3,2
"263","D'Angelo Russell",23.1,8,18.8,0.426,3.5,9.6,0.367,3.6,4.4,0.809,0.4,3.6,3.9,6.3,3.3,1.1,0.3,1.9,-5.6,106.2,114.3,-8.1,0.327,1.94,20.8,0.011,0.107,0.057,10.7,0.519,0.556,0.305,12.5,3
"267","De'Aaron Fox",20.4,7.3,15.4,0.475,1,3.4,0.307,4.8,6.8,0.703,0.7,3.4,4,6.8,3.1,1.4,0.5,2.9,-1.8,110.8,113.7,-2.9,0.333,2.16,23.9,0.02,0.106,0.063,11.1,0.509,0.556,0.287,12.3,3
"271","Joel Embiid",23.4,7.5,15.9,0.474,1.3,3.7,0.348,7.1,8.7,0.814,2.8,9,11.8,3.1,3.1,0.9,1.3,3.4,3,106.2,101.4,4.8,0.185,1.01,12,0.089,0.278,0.186,11.8,0.514,0.593,0.313,19.7,1
"285","John Collins",21.6,8.6,14.8,0.583,1.4,3.6,0.401,2.9,3.7,0.8,2.8,7.3,10.1,1.5,1.8,0.8,1.6,3.4,-4,107,112.1,-5.1,0.075,0.8,7.5,0.08,0.208,0.144,9.3,0.632,0.659,0.224,15.2,1
"291","Rui Hachimura",13.4,5.3,11.1,0.478,0.5,1.8,0.274,2.2,2.7,0.829,1.5,4.5,6,1.7,1,0.8,0.2,2.2,-4.9,109.9,117.8,-7.8,0.083,1.71,11.3,0.049,0.159,0.102,6.6,0.5,0.543,0.186,9.2,2
"299","Clint Capela",13.9,6.3,9.9,0.629,0,0,0,1.4,2.7,0.529,4.3,9.5,13.8,1.2,1.6,0.8,1.8,2.6,1.5,110,107.4,2.5,0.056,0.76,8.8,0.118,0.265,0.191,11.6,0.629,0.626,0.156,14.3,1
